sale_id,product_id,sale_date,quantity_sold,total_sale_amount,customer_region,discount_applied,shipping_cost
42,144,2023-12-29,1,2324.73,Europe,0.12,44.55
43,15,2021-07-18,1,612.69,Asia,0.22,46.44
44,61,2021-09-16,1,1933.76,Asia,0.1,40.71
45,122,2022-04-28,5,2426.59,North America,0.25,43.62
46,82,2022-11-22,4,9860.2,South America,0.04,48.84
47,159,2021-06-22,6,13149.96,North America,0.08,23.75
48,234,2022-12-22,4,790.1,South America,0.13,46.1
49,189,2021-10-02,8,16010.58,North America,0.23,44.02
50,110,2022-06-19,9,6401.08,South America,0.24,7.95
51,193,2021-01-29,3,2309.54,North America,0.23,28.59
52,226,2023-01-11,3,672.49,North America,0.06,42.48
53,86,2023-04-20,4,3190.1,Asia,0.01,7.28
54,68,2022-11-26,4,4414.05,South America,0.08,42.06
55,179,2022-06-06,2,1427.97,South America,0.2,15.89
56,123,2023-05-02,10,11233.88,South America,0.13,48.22
57,179,2023-05-04,10,7407.58,Asia,0.17,20.49
58,113,2022-05-19,2,4193.23,Europe,0.09,22.4
59,85,2021-04-22,10,11730.03,Europe,0.23,14.64
60,107,2022-10-04,4,7401.66,South America,0.2,17.11
61,38,2022-12-30,9,19011.36,North America,0.01,40.11
62,82,2021-07-13,8,14995.72,North America,0.27,34.13
63,174,2023-08-20,4,8252.44,Asia,0.08,41.23
64,104,2021-09-09,5,9122.69,Asia,0.13,21.94
65,151,2022-07-06,8,10645.36,South America,0.08,26.0
66,70,2023-05-22,10,22946.13,Asia,0.03,28.02
67,65,2022-07-13,9,18498.16,Asia,0.19,32.41
68,159,2021-03-31,2,4097.45,Asia,0.14,20.13
69,216,2023-07-02,6,12639.26,Asia,0.26,16.75
70,243,2022-08-25,4,8734.85,North America,0.04,39.45
71,133,2021-04-22,10,16434.26,Europe,0.12,19.38
72,178,2022-06-22,1,1411.91,Asia,0.2,49.89
73,44,2022-08-14,7,5166.39,Europe,0.12,38.15
74,38,2021-11-11,6,9985.76,South America,0.22,15.01
75,117,2023-04-04,6,7646.18,Europe,0.15,43.04
76,141,2023-05-16,5,9217.81,Asia,0.03,10.76
77,230,2021-07-09,9,1567.91,Asia,0.23,13.24
78,90,2021-01-27,2,1783.94,Asia,0.07,15.05
79,3,2021-01-21,7,14077.94,Asia,0.24,19.91
80,178,2022-03-21,10,16060.5,South America,0.09,43.3
81,90,2021-05-03,1,709.74,North America,0.26,31.26
82,224,2022-04-08,8,672.94,South America,0.27,27.52
83,102,2022-10-22,9,6158.47,Europe,0.09,7.43
84,139,2021-02-25,3,2620.46,South America,0.3,20.42
85,62,2021-03-07,3,1910.51,North America,0.09,37.21
86,6,2022-09-22,8,14289.48,Asia,0.1,49.4
87,222,2022-04-04,1,2799.4,Europe,0.0,17.31
88,224,2023-01-22,10,887.27,North America,0.23,27.03
89,78,2023-04-19,3,6112.51,South America,0.18,33.51
90,132,2022-07-28,7,6704.48,North America,0.29,22.25
91,74,2023-11-09,9,1476.02,North America,0.06,21.79
92,155,2022-09-01,6,3372.97,North America,0.23,28.9
93,24,2023-12-13,1,251.41,Asia,0.19,16.2
94,42,2022-09-29,5,13987.97,Asia,0.04,22.26
95,189,2022-07-27,3,7641.41,Asia,0.02,7.06
96,105,2023-08-09,8,1345.34,Asia,0.22,31.84
97,174,2022-12-04,7,11459.23,Asia,0.27,49.8
98,73,2022-10-17,8,20611.19,South America,0.11,13.48
99,215,2023-11-30,1,738.04,Europe,0.07,37.72
100,164,2021-12-22,4,7351.5,Europe,0.22,31.54
101,215,2022-06-29,2,1412.59,North America,0.11,34.27
102,48,2023-09-12,7,5038.84,North America,0.26,16.51
103,69,2023-08-12,10,10247.23,North America,0.3,34.79
104,138,2022-01-02,1,901.37,South America,0.21,23.75
105,17,2021-01-13,2,4832.05,Europe,0.16,26.35
106,71,2021-01-11,4,502.76,Asia,0.21,33.36
107,173,2022-05-10,7,8262.13,Asia,0.2,34.81
108,31,2021-10-24,10,3930.92,North America,0.18,11.17
109,244,2022-10-20,9,2070.76,North America,0.22,10.3
110,230,2021-10-17,2,384.62,Asia,0.15,32.41
111,198,2022-10-11,9,6497.35,South America,0.29,21.11
112,100,2021-10-11,5,4443.62,Europe,0.05,29.67
113,214,2022-08-02,8,8326.58,North America,0.1,5.12
114,173,2021-02-04,2,2213.07,Europe,0.25,35.11
115,54,2023-07-30,2,813.06,North America,0.23,8.38
116,103,2022-12-02,5,9714.41,Asia,0.19,25.55
117,143,2022-03-15,5,4110.03,Europe,0.14,9.49
118,30,2022-03-13,1,272.08,Asia,0.26,21.21
119,129,2021-02-28,7,1114.44,North America,0.22,9.27
120,13,2021-02-21,1,374.83,Europe,0.26,34.85
121,57,2021-01-27,6,11672.65,Asia,0.11,24.7
122,221,2022-08-21,2,2769.36,North America,0.11,20.42
123,87,2021-04-12,7,10448.16,South America,0.12,25.54
124,53,2021-11-09,8,16232.38,Europe,0.24,34.2
125,9,2023-05-21,2,1517.2,Europe,0.04,37.69
126,188,2022-12-16,2,2374.06,South America,0.12,31.58
127,202,2021-01-24,3,3639.13,North America,0.18,40.06
128,77,2023-04-12,3,3463.13,South America,0.14,26.97
129,159,2022-06-29,8,18867.34,Asia,0.01,16.77
130,148,2022-04-15,1,1120.92,Europe,0.21,35.51
131,67,2022-09-11,6,4306.43,North America,0.16,35.97
132,58,2022-10-26,7,8268.74,Asia,0.2,16.19
133,232,2023-11-29,7,7537.62,North America,0.04,42.19
134,144,2023-05-11,1,2139.81,South America,0.19,12.06
135,96,2021-08-17,8,14167.45,South America,0.26,8.37
136,84,2021-11-01,6,12210.27,North America,0.07,48.66
137,55,2023-06-10,9,20355.17,South America,0.07,33.95
138,79,2022-12-06,4,8733.8,South America,0.02,24.99
139,11,2021-01-12,2,1912.46,North America,0.26,25.12
140,239,2022-10-15,8,2052.27,South America,0.22,5.8
141,1,2023-01-21,7,16341.08,North America,0.01,29.71
142,185,2023-10-14,10,2993.22,Europe,0.29,33.69
143,88,2022-10-16,8,2555.43,North America,0.29,21.35
144,74,2022-02-17,4,523.41,South America,0.25,19.94
145,105,2021-01-14,6,1021.94,Europe,0.21,10.13
146,52,2023-01-16,1,609.73,Asia,0.1,42.34
147,74,2023-12-16,9,1318.99,North America,0.16,36.59
148,50,2022-01-02,3,1835.31,South America,0.15,41.98
149,2,2023-11-07,2,5141.68,North America,0.08,13.82
150,154,2021-12-29,7,2547.51,Europe,0.06,42.1
151,70,2023-03-11,6,13767.68,North America,0.03,23.65
152,165,2023-12-22,8,15197.92,Europe,0.14,31.52
153,138,2023-01-24,8,9127.84,South America,0.0,38.13
154,176,2021-02-17,10,8652.46,Europe,0.14,27.87
155,205,2023-12-24,10,8743.7,North America,0.05,41.69
156,135,2021-08-28,7,15195.66,Asia,0.2,32.28
157,94,2022-09-20,9,2096.83,Europe,0.26,23.84
158,22,2022-01-14,5,7887.66,Asia,0.12,20.43
159,14,2021-11-16,8,15795.29,Asia,0.24,11.22
160,104,2022-04-22,9,13967.15,Europe,0.26,37.03
161,151,2022-03-01,4,5438.39,Asia,0.06,37.15
162,40,2023-03-30,3,1405.97,Europe,0.29,34.25
163,93,2023-03-27,9,1882.36,North America,0.16,33.66
164,3,2023-01-02,6,13178.23,South America,0.17,31.23
165,248,2021-09-13,9,7001.14,North America,0.09,43.13
166,8,2022-03-30,9,18793.42,North America,0.03,22.14
167,76,2022-07-17,1,916.11,Europe,0.06,38.76
168,109,2021-05-24,5,4072.73,North America,0.21,11.59
169,219,2022-07-12,5,2655.08,Asia,0.06,29.35
170,59,2023-04-21,8,6955.52,Europe,0.03,44.06
171,143,2021-07-20,9,7570.09,Asia,0.12,27.99
172,143,2022-04-27,1,688.19,Asia,0.28,22.44
173,48,2023-09-28,9,8579.66,Europe,0.02,38.47
174,48,2022-04-16,10,7198.35,South America,0.26,43.72
175,170,2022-02-25,4,5803.97,Asia,0.27,36.71
176,72,2022-07-19,10,6149.64,Europe,0.16,32.15
177,80,2023-05-14,5,9656.91,North America,0.13,49.26
178,240,2021-05-05,3,707.59,North America,0.29,38.08
179,44,2021-03-28,7,5812.19,Asia,0.01,17.56
180,48,2023-03-27,3,2772.34,North America,0.05,43.07
181,100,2022-10-14,6,4827.18,North America,0.14,47.19
182,228,2021-03-09,3,225.81,Asia,0.28,31.86
183,206,2021-11-12,8,2274.35,North America,0.24,29.76
184,41,2022-06-27,6,7949.49,North America,0.16,48.06
185,177,2022-04-01,9,6415.15,South America,0.05,29.44
186,181,2022-09-24,2,2949.12,Asia,0.1,44.75
187,37,2023-07-07,6,14850.59,South America,0.11,14.83
188,212,2023-02-09,9,17830.4,North America,0.25,49.15
189,35,2023-02-10,2,3254.58,Europe,0.2,25.06
190,249,2022-07-09,1,394.89,North America,0.2,19.44
191,245,2022-09-12,7,11944.78,North America,0.08,37.58
192,180,2021-03-24,9,3479.15,South America,0.25,21.87
193,57,2023-04-06,8,17312.25,Europe,0.01,45.42
194,37,2021-02-08,6,14183.15,Europe,0.15,47.67
195,66,2022-09-27,9,15291.61,Europe,0.16,33.21
196,5,2021-05-16,4,5503.0,North America,0.26,24.09
197,240,2023-06-25,4,1116.19,South America,0.16,36.62
198,161,2023-02-12,2,4623.57,South America,0.22,11.92
199,104,2023-11-16,6,12457.19,Europe,0.01,8.3
200,134,2021-06-12,5,3209.4,Europe,0.17,30.87
201,185,2022-06-08,5,1854.95,South America,0.12,25.3
202,164,2023-09-07,7,15009.31,North America,0.09,22.53
203,3,2023-02-24,9,23816.07,North America,0.0,37.41
204,169,2021-04-25,10,9456.48,Asia,0.01,43.17
205,73,2022-08-24,9,25271.87,Asia,0.03,40.41
206,11,2022-05-20,10,12534.34,South America,0.03,39.44
207,56,2021-05-14,7,8770.24,South America,0.12,34.73
208,195,2021-11-16,3,6236.87,South America,0.16,11.14
209,249,2023-07-21,9,4042.67,Asia,0.09,33.53
210,16,2022-03-27,6,5107.83,Europe,0.29,5.5
211,174,2022-02-17,2,4440.17,South America,0.01,30.77
212,57,2022-01-01,9,16525.33,Europe,0.16,8.83
213,97,2023-12-14,6,14632.87,Europe,0.06,45.75
214,227,2023-03-08,3,7684.3,Asia,0.06,32.76
215,18,2023-12-18,4,2837.56,North America,0.03,35.19
216,11,2021-01-29,9,10001.63,Asia,0.14,29.73
217,47,2021-11-10,2,3142.35,South America,0.08,13.88
218,26,2022-11-20,6,2976.89,Europe,0.11,35.21
219,22,2023-11-11,2,3262.62,Europe,0.09,8.14
220,12,2023-10-21,6,5528.3,Asia,0.15,19.78
221,44,2022-11-14,10,7967.65,Asia,0.05,30.51
222,177,2021-09-29,7,4989.56,Europe,0.05,19.09
223,209,2023-05-19,7,13159.11,Asia,0.08,21.18
224,103,2021-03-23,8,16502.51,Asia,0.14,21.14
225,186,2023-08-14,8,8275.17,North America,0.17,12.91
226,216,2021-12-28,5,10532.72,Europe,0.26,11.3
227,206,2021-10-25,5,1458.87,North America,0.22,33.2
228,139,2022-07-25,1,935.88,South America,0.25,33.42
229,208,2022-07-25,10,20262.83,Asia,0.06,6.65
230,94,2023-08-31,9,2068.5,Europe,0.27,29.29
231,3,2021-03-02,6,13972.09,Asia,0.12,45.11
232,8,2021-03-19,3,5554.07,South America,0.14,27.97
233,241,2022-02-07,6,7075.38,Europe,0.15,34.82
234,52,2021-01-31,9,5853.43,Europe,0.04,12.17
235,112,2022-10-24,8,9639.48,South America,0.28,6.82
236,116,2021-07-01,4,9851.82,North America,0.02,21.62
237,127,2022-09-12,4,9779.92,South America,0.16,40.62
238,54,2022-09-06,8,3041.05,North America,0.28,44.67
239,89,2023-01-12,6,8754.33,Asia,0.03,48.58
240,103,2022-06-21,5,9954.27,South America,0.17,30.66
241,214,2023-09-17,7,7204.81,North America,0.11,34.4
242,131,2023-04-15,9,8018.77,Europe,0.08,48.77
243,154,2021-03-21,9,3066.31,Asia,0.12,41.78
244,222,2021-09-26,8,17020.35,North America,0.24,44.92
245,217,2021-11-18,9,8752.04,Europe,0.26,24.8
246,223,2022-10-12,2,1584.32,Europe,0.15,17.64
247,14,2023-11-11,3,7404.04,North America,0.05,32.09
248,69,2023-10-08,4,5152.89,North America,0.12,19.86
249,0,2021-10-31,8,12498.88,Europe,0.2,26.56
250,29,2022-09-11,7,4784.68,Europe,0.01,6.94
251,127,2021-09-11,3,7072.98,Europe,0.19,6.76
252,64,2023-08-27,1,846.93,South America,0.05,46.51
253,224,2022-03-05,10,818.13,Asia,0.29,33.69
254,152,2021-01-16,2,5347.02,South America,0.06,32.29
255,193,2022-11-17,8,7598.48,Europe,0.05,42.37
256,53,2021-04-16,10,20023.5,Asia,0.25,13.18
257,11,2023-01-27,3,3023.75,South America,0.22,20.42
258,60,2021-01-20,10,22056.2,South America,0.18,15.34
259,192,2023-09-26,3,7417.59,South America,0.03,14.11
260,58,2023-07-04,3,3632.34,North America,0.18,12.98
261,74,2023-09-28,9,1334.7,South America,0.15,10.29
262,128,2023-04-15,3,5632.22,North America,0.27,29.27
263,9,2022-08-04,7,4646.43,North America,0.16,21.67
264,53,2022-08-30,9,20904.53,South America,0.13,47.23
265,37,2021-03-16,7,17325.69,North America,0.11,41.21
266,186,2022-04-15,7,8374.87,Europe,0.04,26.47
267,189,2021-05-11,2,4782.38,South America,0.08,44.45
268,72,2022-11-04,5,3440.87,North America,0.06,36.91
269,87,2023-03-21,10,14247.49,South America,0.16,28.39
270,97,2021-10-17,4,8198.56,Asia,0.21,19.22
271,45,2021-03-09,2,5418.31,Asia,0.05,34.32
272,202,2023-09-24,5,5473.48,Asia,0.26,24.06
273,99,2023-03-29,10,2922.75,Europe,0.08,35.63
274,164,2021-08-12,7,13689.81,Europe,0.17,30.09
275,224,2021-07-27,6,573.85,Asia,0.17,26.77
276,115,2021-04-24,10,1256.94,Europe,0.1,36.75
277,182,2023-08-17,2,3420.5,Europe,0.22,25.1
278,231,2022-08-03,2,556.33,Asia,0.06,23.03
279,156,2023-11-09,9,12390.65,North America,0.18,35.81
280,133,2022-05-18,3,4930.28,North America,0.12,33.61
281,194,2021-04-10,3,1111.15,North America,0.14,32.01
282,230,2021-06-07,2,416.3,North America,0.08,21.69
283,14,2021-02-28,7,13093.47,Asia,0.28,23.03
284,29,2021-06-12,10,6766.21,Europe,0.02,39.81
285,33,2023-09-07,8,12453.39,Asia,0.13,14.08
286,85,2021-05-25,4,6032.58,Europe,0.01,31.98
287,72,2023-04-02,10,6954.95,Europe,0.05,6.62
288,230,2021-03-30,1,160.64,Asia,0.29,8.91
289,90,2023-03-16,7,5975.26,Europe,0.11,22.78
290,157,2022-01-16,9,26170.2,North America,0.0,36.66
291,235,2022-12-05,9,24311.69,Asia,0.09,42.34
292,130,2022-08-20,6,5787.3,Europe,0.29,17.44
293,171,2023-08-10,8,4392.75,Asia,0.28,30.87
294,126,2023-08-09,3,3762.24,North America,0.12,9.79
295,104,2022-06-15,9,17175.82,Asia,0.09,47.62
296,63,2022-03-28,9,19384.22,South America,0.24,30.87
297,128,2022-07-16,7,14942.1,Asia,0.17,39.65
298,60,2023-09-30,8,17214.59,North America,0.2,45.34
299,55,2021-08-26,8,18871.7,Europe,0.03,8.04
300,219,2021-01-23,4,1717.33,Asia,0.24,23.56
301,1,2022-12-23,9,17826.63,Asia,0.16,36.54
302,119,2022-04-07,4,9383.19,Asia,0.09,22.95
303,212,2023-06-20,2,4384.96,Asia,0.17,13.03
304,100,2023-05-06,6,5220.09,Europe,0.07,30.82
305,9,2023-04-14,4,2686.71,Europe,0.15,13.98
306,192,2021-05-26,5,11980.3,Europe,0.06,14.12
307,135,2023-05-26,10,24150.24,North America,0.11,40.05
308,149,2021-06-29,2,4522.96,North America,0.2,34.85
309,118,2021-01-17,9,11746.1,Asia,0.29,43.16
310,107,2021-07-17,10,21048.48,Asia,0.09,45.42
311,74,2023-11-26,8,1325.97,Asia,0.05,39.39
312,237,2022-03-22,7,7598.86,North America,0.07,30.95
313,117,2023-02-27,9,10254.87,North America,0.24,26.52
314,126,2021-01-23,9,11543.23,Europe,0.1,43.72
315,215,2022-11-27,8,4507.59,South America,0.29,36.42
316,169,2022-06-06,6,4527.65,Europe,0.21,5.53
317,142,2023-05-12,7,1245.26,Asia,0.17,19.64
318,211,2023-01-08,3,7559.82,South America,0.16,15.67
319,94,2021-08-02,10,2833.56,South America,0.1,13.28
320,168,2021-08-25,4,1010.87,Asia,0.13,38.85
321,71,2022-05-03,7,1024.6,Europe,0.08,13.1
322,98,2022-11-10,10,15120.52,Asia,0.21,41.64
323,19,2022-02-16,4,5956.48,Europe,0.17,43.53
324,135,2022-06-17,3,6186.8,South America,0.24,38.23
325,159,2023-01-01,1,2263.13,Asia,0.05,27.48
326,222,2021-07-17,8,20379.63,North America,0.09,30.3
327,167,2023-03-24,7,10332.89,Europe,0.03,12.35
328,99,2023-04-08,5,1366.07,South America,0.14,33.34
329,126,2021-03-21,6,7866.5,Asia,0.08,21.21
330,244,2021-11-08,6,1752.18,Europe,0.01,10.46
331,249,2021-07-08,10,4096.96,Europe,0.17,34.21
332,88,2021-10-27,5,2002.06,South America,0.11,35.29
333,187,2022-12-20,8,2908.2,Asia,0.27,22.15
334,64,2021-01-27,8,5776.98,Europe,0.19,11.52
335,151,2021-08-02,6,7550.1,South America,0.13,32.55
336,95,2022-03-30,2,5590.82,Asia,0.02,20.46
337,17,2023-03-06,6,13805.86,South America,0.2,36.97
338,224,2022-02-05,5,420.59,Asia,0.27,40.14
339,129,2022-07-16,10,1714.52,Europe,0.16,25.26
340,141,2021-10-30,3,4219.29,Europe,0.26,10.63
341,32,2022-09-13,5,1527.95,North America,0.28,36.53
342,36,2022-01-15,4,2170.79,North America,0.05,9.64
343,191,2023-01-16,8,1078.43,South America,0.16,6.19
344,40,2023-01-25,9,4574.35,Asia,0.23,8.75
345,116,2022-08-01,10,23875.59,South America,0.05,34.47
346,71,2023-03-25,5,739.82,South America,0.07,38.19
347,174,2023-02-20,3,6458.43,North America,0.04,42.73
348,94,2023-06-03,1,251.87,Asia,0.2,43.72
349,125,2023-03-26,8,12463.26,Asia,0.14,44.19
350,240,2021-04-02,9,2601.13,Europe,0.13,48.63
351,137,2022-04-16,10,5557.39,South America,0.18,33.4
352,61,2023-07-24,9,15663.44,Asia,0.19,29.02
353,179,2023-02-17,8,5997.47,South America,0.16,41.21
354,86,2022-08-11,5,3584.83,Asia,0.11,16.69
355,236,2022-06-09,1,2600.2,Europe,0.0,41.69
356,224,2022-12-27,6,629.16,South America,0.09,29.08
357,34,2022-05-22,8,20427.39,Asia,0.09,39.46
358,177,2022-12-29,10,6977.88,Asia,0.07,5.32
359,225,2023-04-20,4,7775.61,South America,0.12,30.22
360,48,2023-04-17,4,3696.45,South America,0.05,38.17
361,173,2021-06-11,7,9604.72,Europe,0.07,8.56
362,145,2021-06-05,9,17266.79,Asia,0.23,45.95
363,229,2022-12-17,5,1410.53,Asia,0.19,28.94
364,168,2022-01-23,7,1911.36,Europe,0.06,8.08
365,29,2023-04-26,5,3348.59,South America,0.03,25.49
366,73,2021-01-05,5,11434.58,Asia,0.21,27.14
367,53,2023-02-11,1,2536.31,North America,0.05,48.64
368,183,2023-03-01,3,4873.14,Europe,0.29,17.7
369,122,2022-01-24,8,4037.84,Europe,0.22,15.48
370,142,2022-01-28,1,182.18,Asia,0.15,20.39
371,0,2022-12-27,8,10936.52,North America,0.3,25.87
372,1,2021-02-21,6,13865.16,Europe,0.02,38.78
373,140,2021-08-04,1,2501.03,South America,0.08,22.66
374,3,2021-09-29,3,7462.37,South America,0.06,42.87
375,123,2021-07-24,1,1239.6,Europe,0.04,39.57
376,73,2022-09-20,7,15603.13,North America,0.23,24.93
377,71,2022-12-15,4,547.3,Europe,0.14,39.69
378,202,2023-09-21,8,10414.41,Asia,0.12,48.25
379,106,2023-01-29,3,7021.58,North America,0.19,6.9
380,0,2022-10-10,5,8397.68,Asia,0.14,18.45
381,22,2022-05-30,1,1326.56,North America,0.26,14.8
382,218,2023-08-19,4,4839.62,Europe,0.19,19.6
383,91,2021-12-26,5,11994.39,Europe,0.18,22.81
384,195,2021-06-27,1,1757.21,South America,0.29,31.15
385,7,2022-02-07,10,2713.96,Europe,0.05,39.69
386,189,2023-12-11,3,6627.76,Asia,0.15,35.87
387,191,2021-09-30,1,157.27,North America,0.02,34.01
388,89,2022-11-18,3,3835.66,Asia,0.15,19.25
389,245,2023-02-16,8,11573.83,South America,0.22,5.96
390,219,2021-09-28,6,2643.78,North America,0.22,16.28
391,230,2023-04-07,8,1429.9,South America,0.21,30.16
392,165,2021-07-04,4,7333.88,Asia,0.17,29.46
393,130,2022-06-06,8,9998.71,Europe,0.08,42.41
394,166,2023-03-11,2,319.77,Asia,0.16,25.22
395,23,2022-05-09,9,9994.72,South America,0.11,5.03
396,128,2023-05-12,3,5709.37,Asia,0.26,32.89
397,208,2023-05-24,10,20047.27,South America,0.07,37.45
398,10,2022-05-28,4,4944.64,Europe,0.16,27.39
399,211,2021-05-23,10,27599.36,Asia,0.08,23.44
400,236,2022-10-02,2,5044.39,North America,0.03,34.65
401,122,2022-04-28,3,1844.21,North America,0.05,6.41
402,41,2021-01-28,8,11861.15,South America,0.06,6.43
403,171,2021-02-16,8,5124.87,Asia,0.16,36.56
404,219,2021-09-22,1,502.77,North America,0.11,32.27
405,28,2022-06-23,1,295.49,South America,0.28,14.39
406,180,2021-04-26,2,886.54,Asia,0.14,33.75
407,118,2023-08-22,9,12904.16,Asia,0.22,45.07
408,200,2023-02-23,1,198.74,North America,0.25,16.96
409,32,2022-05-24,2,636.64,Europe,0.25,8.51
410,66,2022-10-21,9,17658.17,South America,0.03,37.63
411,166,2022-12-20,4,715.68,Europe,0.06,34.56
412,198,2021-05-30,9,7137.94,North America,0.22,23.68
413,123,2021-09-26,10,11492.12,South America,0.11,25.64
414,173,2023-12-27,2,2803.22,South America,0.05,13.12
415,19,2021-07-15,9,14532.37,South America,0.1,12.12
416,80,2021-04-16,6,9723.51,Asia,0.27,29.75
417,12,2021-03-16,6,5723.41,Asia,0.12,33.5
418,137,2023-04-30,10,6302.89,South America,0.07,29.55
419,164,2023-08-30,9,15268.5,South America,0.28,16.43
420,133,2021-08-07,8,10607.57,North America,0.29,5.01
421,104,2023-12-18,5,8598.4,Asia,0.18,28.29
422,160,2022-09-18,1,705.89,Asia,0.09,14.98
423,168,2023-07-19,1,223.67,Asia,0.23,47.45
424,185,2021-09-17,9,3225.09,Europe,0.15,30.68
425,75,2021-08-24,2,634.37,Europe,0.01,21.0
426,220,2021-04-24,5,12195.05,Europe,0.11,31.2
427,64,2023-02-10,5,3387.74,South America,0.24,9.14
428,114,2021-12-03,10,15299.5,Asia,0.28,38.04
429,156,2021-02-27,8,12760.02,North America,0.05,42.16
430,25,2022-07-08,10,12693.27,South America,0.19,6.68
431,48,2021-05-11,2,1498.04,Asia,0.23,46.48
432,132,2022-06-18,6,5989.52,North America,0.26,24.54
433,7,2021-07-30,4,891.32,North America,0.22,43.23
434,155,2021-05-15,7,5008.35,Asia,0.02,28.6
435,112,2023-08-22,9,12501.19,Europe,0.17,19.71
436,202,2022-12-16,3,4349.2,South America,0.02,37.92
437,68,2022-09-17,8,7388.74,North America,0.23,30.89
438,109,2021-02-02,4,3588.12,Europe,0.13,40.39
439,220,2023-09-20,3,7399.24,North America,0.1,26.41
440,37,2021-09-23,9,22025.6,South America,0.12,8.83
441,79,2023-07-02,3,5146.7,Europe,0.23,26.64
442,232,2022-02-09,8,7896.56,Europe,0.12,30.71
443,14,2023-02-07,4,10183.81,Asia,0.02,39.95
444,111,2022-10-28,10,8070.01,South America,0.03,35.23
445,152,2021-09-15,6,15358.46,North America,0.1,19.43
446,14,2022-01-25,5,12340.07,South America,0.05,20.74
447,152,2021-01-29,10,27303.94,Europe,0.04,7.02
448,37,2022-08-25,4,8787.99,North America,0.21,12.02
449,153,2021-11-14,2,2587.87,Europe,0.22,15.94
450,225,2021-10-27,5,11044.9,North America,0.0,36.22
451,200,2021-03-24,5,1139.41,Europe,0.14,6.02
452,229,2023-05-12,9,2946.45,Asia,0.06,29.59
453,102,2021-05-17,9,5820.09,Europe,0.14,37.85
454,190,2021-11-21,1,1575.03,North America,0.11,45.77
455,57,2023-04-19,5,10382.98,Asia,0.05,17.78
456,100,2022-06-03,1,804.53,North America,0.14,47.53
457,82,2022-08-14,7,14379.46,Asia,0.2,34.83
458,51,2023-02-17,2,4009.86,South America,0.01,44.03
459,104,2023-10-04,4,5955.96,North America,0.29,27.88
460,99,2022-08-06,6,1620.22,North America,0.15,31.87
461,77,2022-06-27,3,3785.29,North America,0.06,48.51
462,109,2023-02-11,1,958.9,Asia,0.07,28.82
463,55,2022-01-29,8,17120.72,Asia,0.12,12.07
464,36,2023-03-05,6,3050.53,Asia,0.11,18.6
465,123,2021-10-22,1,1045.91,North America,0.19,44.54
466,155,2023-08-05,9,4730.92,Asia,0.28,15.15
467,33,2023-09-25,7,10019.97,South America,0.2,8.95
468,167,2022-01-12,9,9724.17,Europe,0.29,32.56
469,75,2023-12-27,7,2085.74,Asia,0.07,11.87
470,93,2021-10-01,10,2240.91,Europe,0.1,29.4
471,138,2022-07-27,3,2841.04,Europe,0.17,35.78
